timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1424886532000,0.00,31.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.33,0.00,0.00,0.00,0.00
1424886535000,0.00,15.67,0.00,15.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.67,0.00,0.00,0.00,0.00
1424886538000,0.00,19.67,0.00,21.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,22.33,0.00,0.00,0.00,0.00
1424886541000,0.00,15.67,0.00,15.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00
1424886544000,0.00,17.67,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.67,0.00,0.00,0.00,0.00
1424886547000,0.00,16.67,0.00,16.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
1424886550000,0.00,18.00,0.00,19.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.67,0.00,0.00,0.00,0.00
1424886553000,0.00,20.00,0.00,19.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00
1424886556000,0.00,16.00,0.00,16.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
1424886559000,0.00,16.33,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.33,0.00,0.00,0.00,0.00
1424886562000,0.00,15.67,0.00,15.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00
1424886565000,0.00,22.67,0.00,22.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.67,0.00,0.00,0.00,0.00
1424886568000,0.00,23.33,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.67,0.00,0.00,0.00,0.00
1424886571000,0.00,0.67,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
1424886574000,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
1424886577000,0.00,5.00,0.00,5.33,0.00,0.00,1.33,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.00,0.00
1424886580000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00
1424886583000,0.00,11.67,0.00,11.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.67,0.00,0.00,0.00,0.00
1424886586000,0.00,3.33,0.00,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
1424886589000,0.00,2.67,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00
1424886592000,0.00,1.67,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
